Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
442.446880452813,7.06919580317656,220.368015065883,18.899873441153,829.003485247846,343.15,343.15,343.15,230000,210000,4.0623
